office_number,address,latitude,longitude,place_id
92,"Carrera de Natalio Rivas, 23, C+P, 04770 Adra, Almería, Spain",36.7487985,-3.015048,Ej5DK1AsIENhcnJlcmEgZGUgTmF0YWxpbyBSaXZhcywgMjMsIDA0NzcwIEFkcmEsIEFsbWVyw61hLCBTcGFpbiIfGh0KFgoUChIJI7bT1wBOcA0R6s6HyxnnbC4SA0MrUA
5764,"Av. de Carlos III, 04720 Aguadulce, Almería, Spain",36.8148931,-2.5713492,ChIJgYk3fQlxcA0Rg3xc24eoiwE
5461,"Paseo de Almería, 41, P+4001, 04001 Almería, Spain",36.8384804,-2.4631383,EjRQKzQwMDEsIFBhc2VvIGRlIEFsbWVyw61hLCA0MSwgMDQwMDEgQWxtZXLDrWEsIFNwYWluIiIaIAoWChQKEgkpEYp0AXZwDRGiHsgYjuhWPxIGUCs0MDAx
1809,"Paseo de Almería, 41, 04001 Almería, Spain",36.8384804,-2.4631383,ChIJe_rkcgF2cA0R7LhCBawLpCc
6828,"Calle Canónigo Molina Alonso, 6, P+4004, 04004 Almería, Spain",36.8346925,-2.4617985,Ej9QKzQwMDQsIENhbGxlIENhbsOzbmlnbyBNb2xpbmEgQWxvbnNvLCA2LCAwNDAwNCBBbG1lcsOtYSwgU3BhaW4iIhogChYKFAoSCd-Zg18CdnANEXT90lbToKzPEgZQKzQwMDQ
3378,"Calle Arcipreste de Hita, 04006 Almería, Spain",36.8410418,-2.4487143,ChIJnY5n8OKdeg0RoljaxaO3Tf4
4540,"Carrera del Perú, 04006 Almería, Spain",36.84335859999999,-2.4501242,ChIJDTRdAwieeg0RkDNVhmSYkng
3380,"Av. de Cabo de Gata, 107, 04007 Almería, Spain",36.8294342,-2.4518805,ChIJYcAZS_Cdeg0Rc4htJf_lBjI
3376,"Almería, Spain",36.834047,-2.4637136,ChIJwfLM7ACeeg0RXki8jh-gnY0
6641,"04007 Almería, Spain",36.8276405,-2.4450889,ChIJUSqnsYKdeg0RPU09Ys-no-E
2107,"Almería Airport (LEI), Carretera Níjar, Km. 9, 04130 Almería, Spain",36.84464699999999,-2.3731477,ChIJ_WCGZVeZeg0RZV08CE0NGP8
1454,"Carr. de Nijar, 55, 04130 El Alquián, Almería, Spain",36.8529451,-2.3558741,ChIJxUS9iQieeg0RJaUEAvQR9iM
3375,"Calle Campamento, Calle Alvarez de Sotomayor, 04240, Almería, Spain",36.8883657,-2.4200655,ChIJ_6H6bgCfeg0RiZtVRko0bFo
6528,"Av. Manuel Salmerón, 107, 04760 Berja, Almería, Spain",36.8429706,-2.946532,ChIJBVDtia9IcA0R5-gUapKJkdo
7069,"Calle Sorbas, 8, C+P, 04140 Carboneras, Almería, Spain",36.9972584,-1.8939068,EjdDK1AsIENhbGxlIFNvcmJhcywgOCwgMDQxNDAgQ2FyYm9uZXJhcywgQWxtZXLDrWEsIFNwYWluIh8aHQoWChQKEgkZ7uOSk956DRFf1qQfgaRtVhIDQytQ
7041,"Av. Barcelona, 41, 04610 Cuevas del Almanzora, Almería, Spain",37.294921,-1.8771709,ChIJqbzoDiYrZQ0RJI8TGz5tRdY
2420,"El Ejido, Málaga, Spain",36.72862130000001,-4.418759,ChIJSbBcYcf3cg0RZWo_0wVnMns
7675,"Calle, Paseo Sta. María del Aguila, 67, 04710, Almería, Spain",36.77988,-2.7755114,ChIJLxCmUyZocA0Rnw-zjF_OOpM
6479,"Calle Mayor, 206, 04630 Garrucha, Almería, Spain",37.1778886,-1.8230531,ChIJPz_2w-cpew0RAG7z3xBc0rs
3383,"Calle Antonio Beltrán, 7, 04600 Huércal-Overa, Almería, Spain",37.389241,-1.9422179,ChIJH0uFJPMuZQ0Rq6tGTKU5Cas
2088,"Av. Europa, 195, 04745 La Mojonera, Almería, Spain",36.7548429,-2.6834014,ChIJ6eGm1F5vcA0RlNzhaL39Yks
2659,"Bulevar Cdad. de Vicar, 1254, 04738 Puebla de Vícar, Almería, Spain",36.8013458,-2.6444685,ChIJSXo_I1JucA0RomZev5qBRlI
3379,"Av. Juan Carlos I, 2, 04740 Roquetas de Mar, Almería, Spain",36.7651242,-2.6132413,ChIJAU0JwAVwcA0RRtprFVgVe5k
7003,"Calle San Isidro Labrador, 04740 El Parador de las Hortichuelas, Almería, Spain",36.8031353,-2.5995537,ChIJkxdnfKhxcA0RJWq_bty7mmE
5500,"Calle San José, 16, C+P, 04740 Roquetas de Mar, Almería, Spain",36.7652017,-2.6153469,EkBDK1AsIENhbGxlIFNhbiBKb3PDqSwgMTYsIDA0NzQwIFJvcXVldGFzIGRlIE1hciwgQWxtZXLDrWEsIFNwYWluIh8aHQoWChQKEglJYOHAHHBwDRH7lk_Gr0lVQxIDQytQ
2215,"04117 Níjar, Almería, Spain",36.8269305,-2.1646722,ChIJb78QNVXreg0RQJFA43vSAxw
220,"Av. Virgen del Carmen, 17, 11201 Algeciras, Cádiz, Spain",36.1297168,-5.4449697,ChIJSUOLbNCUDA0R6iyrVYPcYyA
3219,"Calle Radio Algeciras, 3, C+P, 11201 Algeciras, Cádiz, Spain",36.130832,-5.4465427,Ej1DK1AsIENhbGxlIFJhZGlvIEFsZ2VjaXJhcywgMywgMTEyMDEgQWxnZWNpcmFzLCBDw6FkaXosIFNwYWluIh8aHQoWChQKEglLEszQz5QMDRHp0MRDUaLAlBIDQytQ
3232,"Calle Mezquita, 1, 11202 Algeciras, Cádiz, Spain",36.1362886,-5.4546413,ChIJVzsD5cmUDA0Rh0q8_r1r4JY
7037,"Calle Ruiz Zorrilla, 20, 11203 Algeciras, Cádiz, Spain",36.13186,-5.452465699999999,ChIJEaqJL8mUDA0R3dsQCQpF-lg
1447,"Av. la Caña, 48, 11203 Algeciras, Cádiz, Spain",36.132884,-5.4562703,ChIJJ-EC5cmUDA0R3znW4jCT01k
2096,"Av. España, 11, 11205 Algeciras, Cádiz, Spain",36.1457412,-5.4506444,ChIJuyfaSTHrDA0RIDwaFncDytw
6093,"Playa de Getares, Cádiz, Spain",36.0959831,-5.4433847,ChIJV94Lu_iUDA0RIsCpYcGA98M
1465,"Calle Muñoz Vázquez, 18, C+P, 11630 Arcos de la Frontera, Cádiz, Spain",36.7511126,-5.8147417,EklDK1AsIENhbGxlIE11w7FveiBWw6F6cXVleiwgMTgsIDExNjMwIEFyY29zIGRlIGxhIEZyb250ZXJhLCBDw6FkaXosIFNwYWluIh8aHQoWChQKEgkTOpR836MNDRE9P8r8LuvkBRIDQytQ
1076,"Av. Andalucía, 2, 11160 Barbate, Cádiz, Spain",36.1909325,-5.920890500000001,ChIJLaUQOGhDDA0R6kMJFvQ3cRs
3230,"4223 Blanco Rd, San Antonio, TX 78212, USA",29.4858652,-98.5082371,ChIJ4QZbub1fXIYRzX7Cd44tA_U
1603,"Cádiz, Spain",36.5270612,-6.2885962,ChIJDyTsJFfSDQ0RADugjP1jBAQ
1600,"Av. Cuatro de Diciembre de 1977, 28, C+P, 11006 Cádiz, Spain",36.5317679,-6.2931205,Ej1DK1AsIEF2LiBDdWF0cm8gZGUgRGljaWVtYnJlIGRlIDE5NzcsIDI4LCAxMTAwNiBDw6FkaXosIFNwYWluIh8aHQoWChQKEgn9_d32YtENDREqokbOw-ScTRIDQytQ
3234,"Av. Andalucía, 53, 55+C+P, 11007 Cádiz, Spain",36.5203687,-6.2847859,Ei81NStDK1AsIEF2LiBBbmRhbHVjw61hLCA1MywgMTEwMDcgQ8OhZGl6LCBTcGFpbiIiGiAKFgoUChIJRdaXGtLTDQ0RrAtYdhqKuMkSBjU1K0MrUA
3226,"Calle, Av. Ana de Viya, 3, 11009 Cádiz, Spain",36.5127035,-6.2801694,ChIJd7MrMsvTDQ0RkT_UcSJUk4g
1602,"Av. José León de Carranza, 8, 11011 Cádiz, Spain",36.4994879,-6.2731732,ChIJEQSUPE7SDQ0RniACO5br240
6064,"Chiclana de la Frontera, Cádiz, Spain",36.4165052,-6.1461102,ChIJRzKtVr00DA0R9pDIwCnYFvc
3095,"Calle Arroyuelo, 1, 11130 Chiclana de la Frontera, Cádiz, Spain",36.42064999999999,-6.14962,ChIJM8-eqJ00DA0Rf3H_sW0gETI
3135,"Calle Isaac Peral, 57, 11550 Chipiona, Cádiz, Spain",36.7382952,-6.4351343,ChIJ8V-d_Al1Dg0RcpSimQX8Emk
2067,"Calle Laguna, 3, 11140 Conil de la Frontera, Cádiz, Spain",36.2777616,-6.0880183,ChIJ8ZswnB44DA0RpQ-tOhxk8rU
3249,"Calle Cartuja, S/N, 11401 Jerez de la Frontera, Cádiz, Spain",36.6807712,-6.1287886,ChIJv9Fsqu3GDQ0RqhFlPIvm52Y
3243,"Calle Eje, 13, 11405 Jerez de la Frontera, Cádiz, Spain",36.68997710000001,-6.111886699999999,ChIJSXFc39_GDQ0RaKpcQozqflU
6168,"Av. Arcos de la Frontera, 6, 11405 Jerez de la Frontera, Cádiz, Spain",36.6889095,-6.1149722,ChIJV7-JteDGDQ0RN_RQ_jxalik
5475,"Calle Larga, 57, 11403 Jerez de la Frontera, Cádiz, Spain",36.685055,-6.136508,ChIJffthHpTGDQ0RQUD1Ruljcjk
461,"Plaza Manuel Ríos Ruiz, 4, 11404 Jerez de la Frontera, Cádiz, Spain",36.694728,-6.144231,ChIJH8QMkqTGDQ0RLOJtiKU-nSw
6643,"Av. Voltaire, 11, 11405 Jerez de la Frontera, Cádiz, Spain",36.7046695,-6.113999499999999,ChIJX07z7dbGDQ0RcyFAs-90LpI
3235,"Av. de Méjico, 11405 Jerez de la Frontera, Cádiz, Spain",36.6925433,-6.1285303,ChIJ7SMEBcHGDQ0RT3AS_cFW1LI
2108,"Paseo de las Delicias, 13, 11406 Jerez de la Frontera, Cádiz, Spain",36.6853904,-6.1074271,ChIJS3hHhh7HDQ0RlgiBDhZjYec
7097,"Av. Puerta del Sur &, Calle Grecia, 11408 Jerez de la Frontera, Cádiz, Spain",36.6697643,-6.144902,ChIJR0TV_obGDQ0R1P5orPDb7Po
6426,"Av. María Guerrero, 156, 158, 11300 La Línea de la Concepción, Cádiz, Spain",36.1766947,-5.348697899999999,ChIJQy9gmfbADA0Rb_9DHrx9h4k
485,"Calle Jardines, 13, 11300 La Línea de la Concepción, Cádiz, Spain",36.1622672,-5.3486387,ChIJ_ek5r5PADA0RBy0nSBSCy8k
5969,"Calle San Juan, 20, 11170 Medina-Sidonia, Cádiz, Spain",36.4584304,-5.9281678,ChIJ_e8YNjJNDA0Raaf4vGvvnXI
2065,"Municipality of El Puerto de Santa María, 11500, Cádiz, Spain",36.6393281,-6.258836899999999,ChIJjcxQgVbFDQ0R8DugjP1jBAQ
6784,"Av. de la Libertad, 38, C+P, 11500 El Puerto de Sta María, Cádiz, Spain",36.594982,-6.2449374,EklDK1AsIEF2LiBkZSBsYSBMaWJlcnRhZCwgMzgsIDExNTAwIEVsIFB1ZXJ0byBkZSBTdGEgTWFyw61hLCBDw6FkaXosIFNwYWluIh8aHQoWChQKEgm50A9QItANDRGXaNm67Z7zGRIDQytQ
3146,"Calle Virgen de Los Milagros, 87, 87+C+P, 11500 El Puerto de Sta María, Cádiz, Spain",36.5992657,-6.2252564,ElY4NytDK1AsIENhbGxlIFZpcmdlbiBkZSBMb3MgTWlsYWdyb3MsIDg3LCAxMTUwMCBFbCBQdWVydG8gZGUgU3RhIE1hcsOtYSwgQ8OhZGl6LCBTcGFpbiIiGiAKFgoUChIJpycfOejPDQ0RnH22ck7nahQSBjg3K0MrUA
3099,"Plaza del Polvorista, 5, C+P, 11500 El Puerto de Sta María, Cádiz, Spain",36.5953314,-6.2275912,EkpDK1AsIFBsYXphIGRlbCBQb2x2b3Jpc3RhLCA1LCAxMTUwMCBFbCBQdWVydG8gZGUgU3RhIE1hcsOtYSwgQ8OhZGl6LCBTcGFpbiIfGh0KFgoUChIJIfxcKN3PDQ0RnavSTUiU4vcSA0MrUA
6705,"Av. Catorce de Abril, 50, C+P, 11510 Puerto Real, Cádiz, Spain",36.5254264,-6.1715634,Ej9DK1AsIEF2LiBDYXRvcmNlIGRlIEFicmlsLCA1MCwgMTE1MTAgUHVlcnRvIFJlYWwsIEPDoWRpeiwgU3BhaW4iHxodChYKFAoSCXOnyYAXzA0NEUDAdJDWfI-sEgNDK1A
474,"97, Calle de la Pl., 95, 11510 Puerto Real, Cádiz, Spain",36.5277475,-6.189875799999999,ChIJsfnKKSzMDQ0RVc8MO5geOYQ
3248,"Av. María Auxiliadora, 78, 11520 Rota, Cádiz, Spain",36.62457920000001,-6.363338700000001,ChIJs9-0E83ZDQ0R9RGeoRltixc
3244,"Base Naval de Rota, s/n, 11530 Rota, Cádiz, Spain",36.6383257,-6.3354379,ChIJ7__FVM_ZDQ0Ry0Pw2Zk2oj8
6065,"11120 Camposoto, Cádiz, Spain",36.4436176,-6.2230688,ChIJ-9s4vrMyDA0R09Ck0JHlilQ
7076,"Calle Real, C/V Heroes Baleares, 11100 San Fernando, Cádiz, Spain",36.4628845,-6.1991201,ChIJM7zZ7CbNDQ0RNnzofqWDrxY
6079,"Plaza Hornos Púnicos, 11100 San Fernando, Cádiz, Spain",36.4609278,-6.2056545,ChIJcZluzTrNDQ0RFWeqaJnc6i0
5680,"Plaza de Andalucía, S-N, 11360 San Roque, Cádiz, Spain",36.2101183,-5.3872653,ChIJr2kQ4ubBDA0RZhqnWpenRqE
5741,"Plaza de la Paz, S-N, 11540 Sanlúcar de Barrameda, Cádiz, Spain",36.7749716,-6.3530831,ChIJc-MH5SXeDQ0R7hSvcLXbls4
5740,"Calle Ancha, 11, 11540 Sanlúcar de Barrameda, Cádiz, Spain",36.7788969,-6.353532,ChIJnQIf5CXeDQ0RLcmDXmYStqs
3225,"Calle Batalla del Salado, 4, 11380 Tarifa, Cádiz, Spain",36.0146554,-5.604608499999999,ChIJkdfLw_eODA0ReRGDrFTmKYQ
3109,"Av. de España, 44, 11600 Ubrique, Cádiz, Spain",36.6749504,-5.4471574,ChIJB6_b7W0XDQ0RNOrM2DLpzCo
6374,"Av. Andalucía, 37-E, 11150 Vejer de la Frontera, Cádiz, Spain",36.2504966,-5.9694101,ChIJ_SIxg85FDA0RxyqSML-TA84
6690,"Calle el Santo, 10, 11650 Villamartin, Cádiz, Spain",36.8606477,-5.6422488,ChIJ8SQl4n5zDQ0RIOm9PHlTa00
6602,"14920 Aguilar de la Frontera, Córdoba, Spain",37.5138455,-4.6566596,ChIJwQw3yG9rbQ0RbSGidRLy6hs
1455,"Plaza de Andalucía, 3, 14720 Almodóvar del Río, Córdoba, Spain",37.8103336,-5.019752,ChIJyXoc8worbQ0R_OUdH67VpyQ
1492,"Calle Cardenal Herranz Casado, 40, 14850 Baena, Córdoba, Spain",37.6155487,-4.3232487,ChIJ9WHjamWhbQ0RWUNFk3ZQlGg
1607,"Av. Jose Solis Ruiz, 63, C+P, 14940 Cabra, Córdoba, Spain",37.4736386,-4.4429112,EjpDK1AsIEF2LiBKb3NlIFNvbGlzIFJ1aXosIDYzLCAxNDk0MCBDYWJyYSwgQ8OzcmRvYmEsIFNwYWluIh8aHQoWChQKEgnj_8LGK3RtDRGz7XLxYaZ7chIDQytQ
6364,"Av. Carlos III, 68, 14100 La Carlota, Córdoba, Spain",37.6725805,-4.9335292,ChIJRTpTk1IwbQ0RHr-lEt6lsmA
425,"Plaza de la Constitucion, 3, 14620 El Carpio, Córdoba, Spain",37.9403,-4.4985099,ChIJ6Sgf2TX8bA0RJGSpgsbgtog
3257,"Carr. Granada Badajoz, s/n, 14340 Cerro Muriano, Córdoba, Spain",38.001875,-4.768543999999999,ChIJCauz07LdbA0RlwgX8sHE8Zk
3173,"Calle, Av. Ronda de los Tejares, 5, 14001 Córdoba, Spain",37.8888204,-4.779957800000001,ChIJ-QsUC2TfbA0RkO9t2Pqd0oM
2104,"Av. del Aeropuerto, 1, C+P, 14004 Córdoba, Spain",37.8784582,-4.7889751,EjFDK1AsIEF2LiBkZWwgQWVyb3B1ZXJ0bywgMSwgMTQwMDQgQ8OzcmRvYmEsIFNwYWluIh8aHQoWChQKEgnf2e3SpSBtDRFhE8O717LoVhIDQytQ
3177,"Calle Antonio Maura, 4, 14004 Córdoba, Spain",37.8821574,-4.7902558,ChIJpfdafl_fbA0RnBwm8KUXao0
1675,"14005 Córdoba, Spain",37.8740762,-4.8365094,ChIJ96H-lP8nbQ0RICF94XvSAxw
424,"14006 Córdoba, Spain",37.897326,-4.778256799999999,ChIJGX1WoqUgbQ0R4O4w8m1av9s
