office_number,office_direction,municipality_name,province_name,postal_code,geo_extraction
92.0,"Natalio Rivas, 23",Adra,Almería,4770,
5764.0,Av. Carlos Iii Esq. C/lima,Aguadulce,Almería,4720,"['Av. de Carlos III, 04720 Aguadulce, Almería, Spain', 36.8148931, -2.5713492, 'ChIJgYk3fQlxcA0Rg3xc24eoiwE']"
5461.0,"Empresas - Paseo Almeria, 41",Almeria,Almería,4001,"['Paseo de Almería, 41, 04001 Almería, Spain', 36.8384804, -2.4631383, 'ChIJe_rkcgF2cA0R7LhCBawLpCc']"
1809.0,"Ps. Almeria 41 - Ps. Almeria, 41",Almeria,Almería,4001,"['Paseo de Almería, 41, 04001 Almería, Spain', 36.8384804, -2.4631383, 'ChIJe_rkcgF2cA0R7LhCBawLpCc']"
6828.0,"Edf Oliveros - Canonigo Molina Alonso, 6",Almeria,Almería,4004,"['Calle Canónigo Molina Alonso, 6, 04004 Almería, Spain', 36.8346925, -2.4617985, 'ChIJPaRhYAJ2cA0RllqXwOJkh08']"
3378.0,"Nueva Andalucia - Arcipreste De Hita, 2 Esq. Santiago",Almeria,Almería,4006,"['Nueva Andalucía, 29660 Marbella, Málaga, Spain', 36.4923752, -4.951609599999999, 'ChIJHxR4V_kpcw0RmcZtvo0j94k']"
4540.0,"Carrera Del Peru - Manuel Azaña, 7 - 8",Almeria,Almería,4006,"['Carrera del Perú, 04006 Almería, Spain', 36.84335859999999, -2.4501242, 'ChIJDTRdAwieeg0RkDNVhmSYkng']"
3380.0,"Zapillo - Av. Cabo De Gata, 107",Almeria,Almería,4007,"['Av. de Cabo de Gata, 107, 04007 Almería, Spain', 36.8294342, -2.4518805, 'ChIJYcAZS_Cdeg0Rc4htJf_lBjI']"
3376.0,"Los Angeles - Granada, 213",Almeria,Almería,4008,"['801 S Figueroa St #1100, Los Angeles, CA 90017, USA', 34.0478376, -118.2618186, 'ChIJAah2LLfHwoAR-bjrGpUJh3o']"
6641.0,"Av.del Mediterraneo - Av.mediterraneo, S/n. Ed.sevilla L.1",Almeria,Almería,4009,
2107.0,"La Cañada - Ctra.nijar Km. 4,3 - Cañada San Urbano",Almeria,Almería,4120,"['Los Angeles, CA, USA', 34.0522342, -118.2436849, 'ChIJE9on3F3HwoAR9AhGJW_fL-I']"
1454.0,"El Alquian - Carretera De Nijar, 55 - El Alquian",Almeria,Almería,4130,"['Carr. de Nijar, 55, 04130 El Alquián, Almería, Spain', 36.8529451, -2.3558741, 'ChIJxUS9iQieeg0RJaUEAvQR9iM']"
3375.0,Zz Campamento Alvarez Sotomayor,Almeria,Almería,4240,
